pm10,temp,hum,wind_speed,rain,pressure,hour,day_of_week,is_weekend,label
6.65,23.46,18,8.66,0.0,1033,22,3,0,5.32
11.13,28.26,38,5.23,0.0,1025,8,1,0,8.9
148.31,17.8,34,7.27,0.0,1012,14,1,0,118.65
13.51,23.29,18,0.87,10.67,1014,16,6,1,9.45
8.68,17.3,33,7.09,0.0,1009,11,1,0,6.94
7.56,22.4,67,1.93,0.0,1020,16,1,0,7.56
146.04,21.25,25,3.08,0.0,1011,10,3,0,146.04
10.95,24.91,33,4.78,0.0,1023,19,0,0,10.95
10.22,24.92,17,9.04,0.0,1024,22,6,1,8.18
7.47,26.75,66,3.61,11.43,1027,11,3,0,5.23
147.1,20.55,30,6.84,0.0,1005,15,6,1,117.68
11.99,24.42,43,2.86,0.0,1009,8,6,1,11.99
0.7,22.07,13,3.74,0.0,1014,7,1,0,0.7
6.65,22.89,67,5.65,0.0,1018,15,4,0,5.32
148.78,16.44,41,1.67,7.02,1026,3,0,0,104.14
13.52,23.09,10,6.43,0.0,1029,21,2,0,10.81
8.84,24.31,18,8.8,0.0,1033,5,2,0,7.07
3.92,21.64,51,4.62,0.0,1024,10,1,0,3.92
144.7,22.7,28,4.72,6.24,1016,18,1,0,101.29
10.11,20.52,24,3.76,5.98,1032,6,6,1,7.08
8.33,24.71,35,6.19,0.0,1025,19,3,0,6.66
10.68,29.24,36,5.74,0.0,1009,9,2,0,8.54
137.59,19.27,36,6.03,0.85,1025,12,6,1,77.05
13.68,20.81,25,6.87,0.0,1035,14,6,1,10.94
5.32,20.66,33,8.53,0.0,1023,6,5,1,4.26
9.0,29.0,58,6.45,0.0,1017,11,2,0,7.2
107.89,21.43,47,4.63,0.0,1025,0,5,1,107.89
5.91,27.53,37,6.94,0.0,1031,15,2,0,4.73
6.34,21.49,12,5.87,0.0,1028,7,6,1,5.07
11.21,25.79,50,1.34,0.0,1026,11,5,1,11.21
124.24,18.34,34,0.93,0.0,1005,12,1,0,124.24
10.9,25.59,10,0.0,0.0,1006,5,2,0,10.9
9.84,23.63,45,6.98,10.13,1021,13,2,0,5.51
4.25,26.34,65,5.52,0.0,1030,17,4,0,3.4
133.15,21.37,54,1.73,0.0,1007,23,0,0,133.15
6.62,19.61,35,5.15,0.0,1035,17,1,0,5.3
3.24,21.86,36,10.34,0.0,1028,20,2,0,2.59
6.08,26.43,64,5.08,4.99,1007,22,1,0,3.4
107.71,23.54,50,3.4,7.67,1025,17,4,0,75.39
8.28,18.57,10,2.31,0.0,1012,22,1,0,8.28
3.3,17.26,16,7.52,0.0,1010,4,5,1,2.64
4.47,25.61,67,5.37,0.0,1016,18,0,0,3.58
125.04,20.31,46,1.46,0.0,1018,7,1,0,125.04
6.86,27.48,38,5.86,0.0,1008,11,4,0,5.49
3.67,23.55,45,7.32,0.0,1016,13,1,0,2.94
12.16,29.16,61,3.17,0.0,1010,2,1,0,12.16
102.94,24.93,23,6.98,8.34,999,17,2,0,57.65
13.15,21.65,28,3.68,0.0,1012,11,5,1,13.15
9.75,23.39,29,7.9,0.0,1005,9,2,0,7.8
4.2,26.8,54,4.28,0.0,1011,11,0,0,4.2
104.89,24.58,42,4.04,0.0,1005,23,1,0,104.89
13.81,24.93,15,2.34,2.69,1013,15,6,1,9.67
5.01,19.94,22,10.38,0.0,1025,12,4,0,4.01
7.88,24.91,40,0.93,0.0,1021,11,6,1,7.88
150.89,24.5,41,4.36,0.0,998,8,2,0,150.89
14.92,24.25,30,6.64,0.0,1031,18,6,1,11.94
1.21,22.1,20,7.44,0.0,1016,7,0,0,0.97
9.59,29.81,49,4.31,0.0,1031,5,1,0,9.59
108.47,20.86,37,3.48,0.0,1026,16,1,0,108.47
14.04,25.13,22,0.0,0.0,1032,14,5,1,14.04
0.99,25.5,26,5.63,10.7,1026,13,1,0,0.55
13.01,30.88,54,4.94,0.0,1025,4,1,0,13.01
114.27,15.46,36,1.36,0.0,1023,17,6,1,114.27
11.94,23.71,15,4.79,0.0,1023,3,1,0,11.94
6.38,23.54,10,7.61,0.0,1013,0,1,0,5.1
11.47,25.01,56,1.37,0.0,1009,21,2,0,11.47
103.62,20.16,58,0.55,0.0,1014,1,1,0,103.62
11.69,21.14,21,6.59,0.0,1022,17,3,0,9.36
0.77,18.63,10,8.76,0.0,1031,9,2,0,0.61
6.72,25.23,30,0.2,0.0,1020,6,3,0,6.72
122.79,22.8,48,2.51,0.0,1024,8,6,1,122.79
8.02,20.35,35,4.19,0.0,1032,14,2,0,8.02
9.12,21.4,30,10.51,0.0,1029,4,4,0,7.29
10.21,22.55,68,0.34,3.3,1020,17,1,0,7.15
123.88,24.0,42,4.91,0.0,1010,14,1,0,123.88
9.76,18.09,10,5.62,0.0,1021,20,1,0,7.81
9.84,20.43,37,8.69,0.0,1029,13,5,1,7.87
12.99,20.99,44,0.0,0.0,1003,19,1,0,12.99
155.18,20.81,43,0.0,5.57,1027,20,2,0,108.63
13.0,25.56,33,3.37,5.16,1034,16,6,1,9.1
7.98,17.54,27,9.25,11.94,1024,5,5,1,4.47
4.58,22.19,43,1.24,0.0,1024,8,6,1,4.58
138.45,15.9,57,7.4,0.0,1014,20,3,0,110.76
14.18,25.88,12,2.92,0.0,1012,0,5,1,14.18
7.52,15.71,10,9.31,0.0,1010,4,3,0,6.02
9.93,27.19,51,5.11,3.13,1005,2,1,0,5.56
153.6,16.25,26,4.54,0.0,1000,4,6,1,153.6
8.35,27.51,19,1.69,10.44,1026,11,2,0,5.84
8.36,16.42,26,7.92,0.0,1033,17,1,0,6.69
3.65,30.22,31,5.03,0.0,1020,18,6,1,2.92
118.48,20.66,40,3.56,10.95,1015,3,3,0,82.94
7.59,24.65,12,0.0,0.0,1033,9,6,1,7.59
9.97,19.73,19,9.8,2.27,1033,13,6,1,5.58
8.82,26.12,32,2.52,7.85,1024,15,0,0,6.17
125.81,18.31,33,0.0,0.0,1014,11,1,0,125.81
7.49,20.6,29,0.84,0.0,1027,8,1,0,7.49
9.93,22.46,40,7.04,0.0,1009,21,6,1,7.94
3.25,28.55,62,6.26,0.0,1012,14,1,0,2.6
138.49,24.22,37,2.48,0.0,997,9,6,1,138.49
14.75,27.45,10,3.73,0.0,1011,1,4,0,14.75
9.25,19.28,15,7.64,0.0,1010,11,4,0,7.4
4.17,28.13,34,3.42,0.0,1025,15,1,0,4.17
112.87,24.08,49,4.48,0.0,1005,0,4,0,112.87
10.95,21.89,10,3.43,0.0,1008,8,1,0,10.95
1.33,24.78,45,5.81,0.0,1024,18,0,0,1.06
11.81,23.47,38,0.49,0.0,1015,2,1,0,11.81
126.57,23.64,51,4.55,0.0,1004,10,6,1,126.57
13.4,21.12,27,0.29,0.0,1016,23,0,0,13.4
5.28,23.88,27,8.02,0.0,1007,1,3,0,4.22
5.68,22.3,61,5.55,0.0,1008,11,0,0,4.54
115.73,22.33,40,1.15,0.0,1017,11,4,0,115.73
10.27,18.96,28,4.68,0.0,1008,21,5,1,10.27
9.79,20.85,43,3.39,0.0,1010,14,3,0,9.79
10.75,23.25,63,3.85,0.0,1004,10,3,0,10.75
106.94,25.13,30,6.37,0.0,1020,7,4,0,85.55
10.5,27.98,18,7.3,0.0,1028,8,6,1,8.4
2.53,21.6,40,7.41,0.0,1017,7,3,0,2.02
3.5,28.44,35,0.76,5.39,1031,15,3,0,2.45
158.6,17.13,37,0.79,0.0,1013,20,2,0,158.6
8.63,19.9,10,0.36,5.41,1008,4,2,0,6.04
3.72,19.67,21,7.91,0.0,1027,15,6,1,2.98
9.93,27.74,57,4.0,0.0,1002,19,4,0,9.93
125.55,24.37,31,5.62,0.0,1018,21,2,0,100.44
10.15,25.35,19,4.12,0.0,1018,23,6,1,10.15
1.46,19.14,37,7.3,0.0,1010,0,2,0,1.17
4.51,28.37,49,6.29,0.0,1005,3,1,0,3.61
113.14,18.85,36,7.39,0.0,1017,20,0,0,90.51
5.89,23.91,10,6.92,6.63,1015,0,0,0,3.3
1.54,22.73,25,4.93,0.0,1020,5,1,0,1.54
11.63,23.57,60,6.21,10.53,1015,15,6,1,6.51
126.8,16.38,54,0.78,0.0,1020,7,2,0,126.8
14.29,25.08,11,5.38,1.9,1027,0,0,0,8.0
8.13,21.41,22,9.11,0.0,1012,4,0,0,6.5
11.35,22.4,66,6.61,0.0,1001,12,2,0,9.08
103.5,19.83,30,6.17,0.0,997,9,4,0,82.8
9.59,27.1,20,2.3,0.0,1018,7,1,0,9.59
10.42,16.48,12,7.21,0.0,1022,20,4,0,8.34
11.46,26.04,29,3.39,0.0,1027,14,0,0,11.46
102.43,23.33,24,1.46,4.1,1017,12,5,1,71.7
15.55,25.83,35,0.0,0.0,1016,21,6,1,15.55
7.12,20.71,21,5.84,0.0,1004,15,0,0,5.7
4.37,30.26,43,0.0,0.0,1004,18,1,0,4.37
116.69,23.49,34,7.3,0.0,1010,20,4,0,93.36
9.99,19.43,34,5.56,0.0,1009,19,0,0,7.99
1.43,18.89,41,8.17,0.0,1023,6,2,0,1.14
4.34,24.56,55,0.0,0.0,1020,4,1,0,4.34
148.11,17.48,60,6.32,0.0,1023,22,2,0,118.49
14.79,25.92,42,3.92,0.0,1016,4,0,0,14.79
2.99,17.51,16,9.88,0.0,1024,2,0,0,2.4
9.42,27.29,53,5.99,0.0,1012,22,2,0,7.54
140.84,21.26,30,5.11,10.18,999,8,5,1,78.87
13.32,25.51,10,2.83,0.0,1011,3,2,0,13.32
8.7,24.62,28,7.49,0.0,1012,15,5,1,6.96
3.69,23.55,62,3.84,0.0,1029,15,2,0,3.69
113.44,18.03,25,1.38,0.0,1011,2,2,0,113.44
9.49,21.03,10,2.78,2.06,1020,2,3,0,6.64
8.64,16.82,22,6.9,0.0,1030,9,3,0,6.91
12.17,23.3,53,4.95,3.13,1029,3,4,0,8.52
113.85,23.46,25,6.41,0.0,1016,13,0,0,91.08
10.1,20.38,28,6.25,0.0,1020,10,0,0,8.08
5.23,20.57,10,3.65,11.44,1026,7,3,0,3.66
10.34,25.2,62,1.84,2.1,1004,17,1,0,7.24
154.77,20.11,29,4.79,0.0,1016,3,6,1,154.77
6.79,25.92,10,5.75,0.0,1011,17,3,0,5.43
1.52,22.13,32,8.12,0.0,1033,5,5,1,1.22
3.82,24.12,54,1.84,0.0,1009,19,4,0,3.82
103.36,21.25,36,6.61,1.61,999,9,4,0,57.88
6.11,24.62,12,2.6,0.0,1033,22,1,0,6.11
8.98,19.43,38,4.98,6.72,1022,16,3,0,6.28
7.33,22.08,29,0.0,8.68,1021,18,0,0,5.13
109.91,17.89,59,0.51,0.0,1019,8,5,1,109.91
8.61,26.77,37,6.83,0.0,1028,3,0,0,6.89
8.88,25.29,36,8.6,0.0,1021,9,2,0,7.1
8.28,29.78,63,0.0,5.45,1020,6,0,0,5.8
100.68,21.88,33,5.73,0.0,1016,18,2,0,80.54
14.64,18.87,10,1.52,0.0,1030,1,6,1,14.64
4.15,25.44,31,5.17,8.38,1031,6,4,0,2.32
3.83,23.04,31,5.63,0.0,1014,15,4,0,3.06
110.63,20.49,58,6.62,0.0,1002,17,2,0,88.5
12.84,18.16,10,4.72,9.24,1011,14,1,0,8.99
10.34,25.17,39,2.92,0.0,1027,11,2,0,10.34
7.28,30.79,60,5.82,0.0,1023,12,5,1,5.82
147.59,18.41,52,6.92,0.0,1009,5,5,1,118.07
15.03,24.56,42,3.02,0.0,1015,9,2,0,15.03
7.35,17.72,41,10.5,5.07,1031,9,3,0,4.12
7.55,29.45,67,2.23,0.0,1016,1,2,0,7.55
137.44,22.09,39,0.59,0.0,1002,19,4,0,137.44
8.62,19.42,37,2.81,0.0,1018,15,5,1,8.62
0.64,25.04,41,10.22,0.0,1009,16,2,0,0.51
7.08,23.19,66,0.02,0.0,1017,15,1,0,7.08
147.33,23.99,26,1.94,0.0,1010,9,2,0,147.33
10.94,19.33,40,1.52,0.0,1021,2,2,0,10.94
6.58,17.18,28,9.14,7.68,1032,1,6,1,3.69
7.8,30.18,36,5.58,0.0,1009,17,1,0,6.24
102.17,18.08,40,4.28,6.29,1007,20,0,0,71.52
6.57,26.54,29,1.26,0.0,1006,18,0,0,6.57
10.59,24.26,41,10.38,0.0,1014,15,4,0,8.47
7.0,21.38,64,3.57,0.0,1017,11,3,0,7.0
115.7,18.01,57,4.18,0.0,1025,17,5,1,115.7
7.42,27.72,28,5.68,1.39,1021,9,3,0,4.15
2.67,21.4,29,6.54,0.0,1032,18,5,1,2.14
5.46,21.03,50,6.74,0.0,1031,23,3,0,4.37
115.87,16.68,39,6.98,0.0,1002,20,4,0,92.7
11.21,27.66,34,4.63,0.0,1009,3,0,0,11.21
1.62,24.98,34,9.18,1.68,1005,17,1,0,0.91
9.99,29.14,61,6.51,0.79,1017,20,1,0,5.59
